createtime,creator_qq,creator_name,creator_isVip,dissid,dissname,listennum
2019-07-22,359975977,Nali,2,7102203398,唤醒耳朵！开启颅内电音之旅！,185333
2019-03-12,1067338325,念葳蕊,2,6788276666,水瓶座男孩的民谣自述,164917
2019-06-20,3103590071,J-Pop Man,2,7052379612,日式女声 | 缓缓吟唱你心声,146430
2019-05-17,3300733760,冰的唐葫芦,2,6990645566,持续更新！2019国风新歌精选,433394
2019-11-06,2303204713,蓝莓 Cake,0,7287444441,古风情：喜你为疾，药石无医,299110
2019-05-28,2868844936,欧美流行女皇,2,7011692333,想把自己丢进沙发里，听温柔的歌,347718
2018-10-08,1468388760,Smile,2,5178388833,韩国厂牌Amoeba Culture精选,107854
2019-11-05,259249381,叶洛洛,7,7285879836,遇见你的那天，便是晴天,715339
2019-11-05,3490786195,允许部分冷门先热起来,2,7286151786,你离开以后，我爱上了孤寂,865709
2019-10-31,55894433,QQ音乐VIP,6,7278052383,深蓝色忧郁，唱针里的隐秘情绪,95696
2019-11-05,2841356990,念_SHUI也不忘,0,7270447081,《黑暗物质三部曲》原声合集,73232
2019-10-30,1083284863,北鹤,2,7277354410,站内评论999＋华语嘻哈,730768
2019-11-04,3342379852,私はとても良いです,0,7284914844,《天气之子》丨无论晴雨都想见你,3621561
2019-08-01,3175546233,陈雪凝2.0,0,7125299900,失恋套餐：一抽纸巾＋一首歌,1712809
2019-07-08,1198547939,Handsup-U,2,7075217856,闲暇自游 • 清风随心的旅途,217755
2019-11-04,987674549,小众又怎样,0,7269111325,朝着梦想前进，过你想要的生活,580200
2019-06-07,1662059100,Rose,2,7026742443,小众民谣 : 独享闲暇的安宁,331732
2017-02-05,1062787994,动漫唯美音乐,2,2044187276,日语｜心灵最纯粹的触动战歌,448519
2019-06-18,2395356675,戒摇滚是不可能的,2,7050026618,藏匿于国摇中的英伦风,123070
2019-06-06,2080606705,堆-贰,0,7023270713,古风女声 ：离人共述，多少相思愁,233896
2019-06-24,1083284863,北鹤,2,7054482271,韩式小清新 : 解锁恋爱新格调,685990
2019-06-13,2035819190,民谣和狗，我选你,0,7041144776,民谣 · 凡事十分合适,403687
2019-07-02,930739045,九月,2,6675994191,禁止想象 · 耳机里的万种风情,488407
2019-06-27,55894433,QQ音乐VIP,6,7064131029,舒缓情绪：在律动的浅湾中栖息,284307
2019-06-19,793407810,四平台资深做单人,2,7043623693,温暖清新：吉他弹唱女声,223992
2019-07-12,1060444681,硬糖加可乐,2,7083184245,聚餐时刻 · 乐享欢快纯音,68281
2019-11-01,987674549,小众又怎样,0,7277578679,华语男声：这个秋天让我温暖你,416325
2019-07-22,2978567822,我觉得你也不太轻,0,7107185366,减压向丨我在听歌，别聊工作,303404
2019-06-27,930739045,九月,2,7062366340,忘忧纯音 · 沦陷静谧雨中,516150
2019-10-11,919820535,LANCE$LEE,2,7227856342,Deep-Trap：另类节奏风格的说唱,127578
2019-10-29,535471097,逐奈,2,7270900176,魅力100%！动听欧美女声,643663
2019-10-31,3490786195,允许部分冷门先热起来,2,7277648638,民谣 · 四季夜的安眠良药,184367
2019-07-31,2909946281,Lin衾浅,2,7114640423,励志日系 · 奔赴诗和远方,70434
2019-10-31,1083284863,北鹤,2,7278530236,通宵达旦！网咖提神必备曲,542404
2019-10-29,3414308253,鹅猴综艺狸,2,7275806490,辨识度100分的蒙面唱将★,583588
2019-10-29,987674549,小众又怎样,0,7276465081,华语女声：这个秋天比往年的冷,295532
2019-10-21,1043698531,刘珂矣,1,7265436439,模糊间，已是枫杨染红了秋天,134360
2019-07-22,2297636776,蛇口小泫雅,0,7107303712, 减肥太难咯，特别是看到这些歌名,41403
2019-10-24,55894433,QQ音乐VIP,6,7269064761,Hip-Hop：比川香酱还上瘾的Flow,198760
2019-10-24,919820535,LANCE$LEE,2,7223615292,都市嘻哈：慢节奏风格的说唱,166610
2019-10-29,3521419564,穿着皮鞋跳大神,0,7268078471,电子流行 · 排解堵车郁闷情绪,102945
2019-08-13,1083284863,北鹤,2,7150959148,粤语丨给你听的歌里有心事,148572
2019-10-28,987674549,小众又怎样,0,7260401631,古风电子：灵魂碰撞，别有一番韵味,194992
2019-10-12,535471097,逐奈,2,7252071048,快乐加油站！搞笑魔性神曲,229680
2019-07-16,3292495280,桥环野の贰狗,2,7097211205,仓木麻衣：我的歌声烙在你成长的印记,404299
2019-09-04,348361207,风少,2,7159295237,秋乏 • 晨起醒脑必备,406800
2019-10-01,1776656125,Eupdream,0,7236584590,俄式低音：热血Hard Bass,118805
2019-05-22,1934427156,华语流行之王,2,6999282798,你再打扰我工作，我就和你一起玩,39619
2019-10-15,1961769567,墨香,2,3619234964,国风心事录：半笺娇恨寄幽怀,305168
2019-07-11,2964956938,急速电子girl,0,7088239319,油管旅拍Vlog | 备好行囊，上路！,363410
2019-10-31,987674549,小众又怎样,0,7278997060,万圣节：诡异音符午夜场,93079
2019-10-25,987674549,小众又怎样,0,7192044645,华语摇滚：我只要最直接的疯狂,136948
2019-05-24,1934427156,华语流行之王,2,7000916702,二字情歌往往最是伤人,399732
2019-07-16,2937448420,日向大叔,0,7097723522,来听听，日式的孤独是什么滋味呢,77530
2019-10-02,3021447911,月月酱,2,7237530707,甜蜜日系：微风轻起，好喜欢你,197904
2019-10-24,467638189,蜜糖男孩,2,7266323283,Netflix | 2019十大热门剧集原声,363937
2019-10-22,987674549,小众又怎样,0,7260416381,豪气古风：我命由我不由天,619140
2019-10-08,452775188,还不是因为你长得不好看,2,7240551864,成年人的感情，是一种冰冷默契,167391
2019-10-12,919820535,LANCE$LEE,2,3701135945,砰砰砰！震撼你心跳的韩流劲歌,86098
2019-10-29,2817694990,Jane&Danny,2,7202742025,Pitchfork评选：2010年代最佳MV,60899
2019-10-09,2941936160,K歌之王,0,7248303752,创作集 | 陈百强创作歌曲赏,747189
2019-10-22,3490786195,允许部分冷门先热起来,2,7265558560,霸气古风 · 斗转星移，气吞山河,260008
2019-05-22,1934427156,华语流行之王,2,6999453064,无关风月，都是岁月的拨弦,533700
2019-09-04,2103461797,随꙰你꙰所꙰喜꙰°,2,7011114239,一首民谣，一个故事,304863
2019-05-14,259249381,叶洛洛,7,6984407606,虐心网络曲：爱过你，却终究错过,24715722
2019-10-21,2185430030,winner,2,7265786919,来自FABTONE的Jazz HipHop,69941
2019-08-15,497974908,Rand_LaVowi,2,7052228038,Synthwave · 复古爱好者的音乐,35599
2019-08-07,2507798282,尐尐,2,7123186196,极致舒缓 • 欧美致郁男嗓,291844
2019-10-16,1747907171,鹿仁,2,7256965401,蜜瓜味情歌 · 糖度适中,377801
2019-10-18,55894433,QQ音乐VIP,6,7260376206,独处时光：萦绕耳边的韩式旋律,76991
2019-10-21,987674549,小众又怎样,0,7232280687,国风韵：我今生有何求，唯你,515511
2017-02-11,2473134961,小沐沐,2,1138343644,李安导演电影原声巡礼,3827547
2019-09-06,1173585965,木焓♍,2,7190150630,人生不容易，快乐靠自己,140860
2019-07-22,1747907171,鹿仁,2,7100139967,古风小曲 · 一帘疏雨细于尘,352708
2019-10-14,1214673117,小攀哟,2,7217122000,温柔民谣：直抵内心柔软处,570349
2019-10-15,987674549,小众又怎样,0,7246873120,学会放手，该走的怎么也留不住,708920
2019-08-18,2579140801,星辰俱乐部,2,7159994910,独立流行：旋律中的柔和声线,64453
2019-07-19,2645339474,摇滚就完事了,0,7100443600,念念有词，说出来的国产摇滚,40245
2019-10-25,2979842415,桃Tao音乐志,2,7270487414,2019全美音乐奖获奖名单,1729242
2019-09-09,2160865471,Akivn,2,7174499004,轻和日系：缓解你的小压力,173167
2019-07-24,2417302852,呢喃 *,2,7101639060,小食光 ∙ 今日份开胃健脾丸,158371
2019-09-09,55894433,QQ音乐VIP,6,7193047024,Indie Pop，独立于世的青年之声,89653
2019-07-31,1747907171,鹿仁,2,7120635814,中国风女声 · 倾慕韶华红颜,258179
2019-09-02,1047366248,逆夏,2,7181647475,情感共鸣！影视中的角色人物曲,282737
2019-08-09,3445375866,梦里着迷,0,7142966602,我会关注你的一切，假装在你身边,247239
